Planet_Name,Planet_Radius,Planet_Mass,Orbital_Period,Semi_Major_Axis,Equilibrium_Temp,Planet_Density,Stellar_Temp,Stellar_Luminosity,Stellar_Metallicity,Habitability_Score_Index,Stellar_Compatibility_Index,Orbital_Stability_Factor,StarType_A,StarType_F,StarType_G,StarType_K,StarType_M,Target_Habitable
TOI-1130 c,13.0,336.0,8.3501898,0.0731,650.0,0.827042,4360.0,0.9412608599916935,0.11,0.09968570170712862,0.639654203578394,0.12617987144187898,False,False,False,True,False,1
TOI-1173 b,9.19,27.4,7.06466,0.0696,868.0,0.195,5350.0,0.9412608599916935,0.139,0.10005518316094403,0.9601098676925642,0.04504746621436505,False,False,True,False,False,1
TOI-1194 b,8.71664516,120.0,2.3106446,0.034,1264.29,0.99,5394.0,0.7059923578936672,0.348,0.0629900316403323,0.9677630545752681,0.007656062221334162,False,False,False,True,False,0
TOI-1199 b,10.5140239,75.96098927,3.671463,0.04988,1486.0,0.358,5710.0,2.0150229644764868,0.44,0.05182082704893578,0.9989729721988732,0.08848987167693212,False,False,False,True,False,0
TOI-1201 b,2.415,6.28,2.4919863,0.0287,703.0,2.45,3476.0,0.2714344707869742,0.05,0.12728447816249305,0.3080168194520862,0.28550287952881515,False,False,False,False,True,1
TOI-1203 b,1.52,3.51,4.1572888,0.04869,1361.2,5.48,5737.0,0.9412608599916935,-0.39,0.11169218700675083,0.9996265142076339,0.04971386079770233,False,False,True,False,False,1
TOI-1203.01,2.918,7.39,22.411880912500003,0.1632,743.6,1.63,5737.0,0.9412608599916935,-0.39,0.2503292095575983,0.9996265142076339,0.06236886994615676,False,False,True,False,False,1
TOI-1221 b,2.91,762.4431696,22.411880912500003,0.16746499999999997,440.0,1.42,5592.0,0.9412608599916935,0.06,0.28610511292148144,0.9923414770836891,0.09597312868857896,False,False,False,True,False,1
TOI-1231 b,3.65,15.4,22.411880912500003,0.1288,329.6,1.74,3553.0,0.2714344707869742,0.041,0.3588530947946526,0.33282485481353496,0.24594070083049252,False,False,False,False,True,1
TOI-1238 b,1.21,3.76,0.764597,0.0139,1133.0,6.8187500000000005,4089.0,0.2714344707869742,0.31,0.08064869834113819,0.5304985787542605,0.16444331628027412,False,False,False,True,False,0
TOI-1238 c,2.11,8.32,3.294736,0.037,695.0,4.9,4089.0,0.2714344707869742,0.31,0.15584009964573417,0.5304985787542605,0.20267003569471287,False,False,False,True,False,1
TOI-1243 b,2.33,7.7,4.6594779,0.054235,450.0,3.3,3515.0,0.2714344707869742,-0.2,0.21583096142600255,0.3204472651235654,0.008601743756884469,False,False,False,False,True,1
TOI-1246 b,3.01,8.1,4.30744,0.049,955.0,1.63,5151.0,0.9412608599916935,0.17,0.10557012552524718,0.9163453185798028,0.07210544055393497,False,False,False,True,False,1
TOI-1246 c,2.45109846,9.1,5.904137,0.061,862.49,3.39,5213.0,0.4999999950079739,0.168,0.16245855158352485,0.931518816538117,0.060892656737647245,False,False,False,True,False,1
TOI-1246 d,3.43139739,5.4,18.654874,0.132,587.77,0.73,5213.0,0.4999999950079739,0.168,0.27140990846375496,0.931518816538117,0.054660067001760695,False,False,False,True,False,1
TOI-1246 e,3.5141875,14.5,22.411880912500003,0.16746499999999997,463.98,1.83,5213.0,0.4999999950079739,0.168,0.3303413507181171,0.931518816538117,0.09597312868857896,False,False,False,True,False,1
TOI-1248 b,6.8084859,27.4,4.3601561,0.051,952.09,0.47,5205.0,0.5010026234353426,0.223,0.10712561812629816,0.929636155528514,0.030888389736643686,False,False,False,True,False,1
TOI-1249 b,3.2710301,11.9,13.079151,0.109,726.89,1.84,5497.0,0.7920087871305074,0.297,0.19879606727096208,0.9826061612737756,0.004297500538736215,False,False,False,True,False,1
TOI-125 b,2.726,9.5,4.65382,0.05186,1037.0,2.57,5320.0,0.5190031574907782,-0.02,0.13401237356047768,0.9544555343113368,0.06550544344090782,False,False,False,True,False,1
TOI-125 c,2.759,6.63,9.15059,0.0814,827.8,1.73,5320.0,0.5190031574907782,-0.02,0.19061305118407984,0.9544555343113368,0.06573144816525223,False,False,False,True,False,1
TOI-125 d,2.93,13.6,19.98,0.137,638.1,2.98,5320.0,0.5190031574907782,-0.02,0.2806073639201527,0.9544555343113368,0.06582506397015558,False,False,False,True,False,1
TOI-1259 A b,11.45557828,140.16232749,3.477978,0.0407,963.0,0.513,4775.0,0.9412608599916935,-0.41874999999999996,0.06381841781394423,0.7996688651572678,0.12705909278019634,False,False,False,True,False,0
TOI-1260 b,2.41,8.56,3.127463,0.0367,871.0,3.35,4227.0,0.2714344707869742,-0.1,0.1422855976740232,0.5859164947417362,0.16839100570755294,False,False,False,True,False,1
TOI-1260 c,2.76,13.2,7.493134,0.0657,651.0,3.45,4227.0,0.2714344707869742,-0.1,0.2169937655031933,0.5859164947417362,0.17095241204054773,False,False,False,True,False,1
TOI-1260 d,3.12,11.84,16.608164,0.1116,499.0,2.14,4227.0,0.2714344707869742,-0.1,0.31473222658412914,0.5859164947417362,0.1723678693262081,False,False,False,True,False,1
TOI-1266 b,2.52,4.46,10.8945,0.073,415.0,1.54,3563.0,0.2714344707869742,-0.109,0.2617382047415909,0.3361249805621897,0.3586384921609517,False,False,False,False,True,1
TOI-1266 c,1.98,3.17,18.8027,0.105,346.0,2.25,3563.0,0.2714344707869742,-0.109,0.3624202209246574,0.3361249805621897,0.3594809378244264,False,False,False,False,True,1
TOI-1268 b,9.1,96.4,8.1577094,0.0711,918.9,0.71,5300.0,0.9412608599916935,0.36,0.10032890698588581,0.9504932465612673,0.1420103331443031,False,False,False,True,False,1
TOI-1269 b,2.40144286,6.4,4.2529913,0.0496,1004.9,2.53,5499.0,0.6030037319942385,-0.049,0.12865749185824016,0.9828507514660983,0.04541030607373731,False,False,False,True,False,1
TOI-1272 b,4.13204907,27.0,3.31599,0.0417,975.0,2.09,5065.0,0.37499890535749236,0.182,0.11796592851660082,0.8931766611025781,0.05492684728773991,False,False,False,True,False,1
TOI-1273 b,11.09689089,70.55790635,4.631296,0.0549,1211.0,0.28,5690.0,1.0699906927079144,0.07,0.07094110274372414,0.9982805909913701,0.012416278260468254,False,False,False,True,False,0
TOI-1279 b,2.66146528,10.6,9.61419,0.085,759.0,3.05,5457.0,0.5710051168082259,-0.079,0.19583596709553847,0.9773621696305143,0.0523079370149731,False,False,False,True,False,1
TOI-1288 b,4.96846551,44.1,2.6998279,0.0374,1203.44,1.97,5388.0,0.700003159130897,0.257,0.08023551967173354,0.9667648382711531,0.018530279825281458,False,False,False,True,False,0
TOI-1294 b,10.12369881,63.9,3.915292,0.051,1392.74,0.34,5718.0,2.335984732536807,0.283,0.051565849423301474,0.9992003199146837,0.061861180655824397,False,False,False,True,False,0
TOI-1295 b,15.69257298,451.31633794,3.1968838,0.047,2360.0,0.65,6280.0,2.8468527213318002,0.26,0.03432236124170442,0.9455382954115379,0.13055095396601593,False,True,False,False,False,0
TOI-1296 b,14.11645916,95.3,3.9443736,0.051,1414.84,0.19,5567.0,2.520983481423053,0.405,0.04519072160025705,0.9901552246627329,0.05548845916765804,False,False,False,True,False,0
TOI-1298 b,9.65807033,99.0,4.537143,0.057,1278.0,0.6,5752.0,2.091991906501735,0.397,0.05982560623632784,0.9998497890605709,0.07877345370055226,False,False,False,True,False,0
TOI-132 b,3.42,22.4,2.1097019,0.026,1395.0,3.08,5397.0,0.5999982725336438,0.16,0.07041118736267954,0.9682567396120852,0.26713561072786024,False,False,True,False,False,0
TOI-1333 b,15.647764,753.2571,4.720219,0.0626,1679.0,1.08,6274.0,2.8468527213318002,0.119,0.04590637933273861,0.9467973291946644,0.16615326413076162,False,False,False,True,False,0
TOI-1347 b,1.8,11.1,0.84742346,0.054235,1400.0,6.8187500000000005,5464.0,0.549996593976402,0.04,0.1374022640290455,0.9783280632280961,1.4005312090773443,False,False,False,True,False,1
TOI-1347 c,1.6,6.4,4.841962,0.054235,1000.0,4.1,5464.0,0.549996593976402,0.04,0.1541254329941365,0.9783280632280961,0.041773784588330885,False,False,False,True,False,1
