Planet_Radius,Planet_Mass,Orbital_Period,Semi_Major_Axis,Equilibrium_Temp,Planet_Density,Stellar_Temp,Stellar_Luminosity,Stellar_Metallicity,StarType_A,StarType_F,StarType_G,StarType_K,StarType_M,Habitability_Score,Predicted_Class,Rank
1.9,4.0,5.7459982,0.0418,440.6,3.2,3395.0,0.2714344707869742,-0.07,False,False,False,True,False,0.99984884,1,45
0.75,0.55,3.97664,0.04298,909.0,6.8187500000000005,4684.0,0.2714344707869742,-0.2,False,False,False,True,False,0.9998325,1,46
9.157753,109.33352,22.411880912500003,0.1674649999999999,435.0,0.78,5050.0,0.9412608599916936,0.22,False,False,False,True,False,0.99981195,1,47
9.42,762.4431696,22.411880912500003,0.1674649999999999,191.0,1.42,5170.0,0.4200006862466315,0.16,False,False,False,True,False,0.9997758,1,48
10.54,460.83,22.411880912500003,0.1674649999999999,511.0,2.1,5520.0,0.9412608599916936,0.27,False,False,True,False,False,0.9997384,1,49
10.3,58.7,10.590547,0.098,947.0,0.29,6000.0,0.9412608599916936,0.09,False,False,True,False,False,0.99967146,1,50
9.1,96.4,8.1577094,0.0711,918.9,0.71,5300.0,0.9412608599916936,0.36,False,False,False,True,False,0.9996631,1,51
2.28,9.79,5.6057,0.06,1038.0,4.51,5450.0,0.9412608599916936,0.01,False,False,True,False,False,0.999632,1,52
10.55,196.0,20.35847252,0.1208,377.0,0.916,3711.0,0.2714344707869742,-0.11,False,False,False,True,False,0.9996276,1,53
1.173,2.32,4.3135225,0.054235,944.2,6.8187500000000005,4975.0,0.9412608599916936,-0.31,False,False,False,True,False,0.9996201,1,54
0.853,2.4,6.99205,0.0758,1299.0,6.8187500000000005,6104.0,0.9412608599916936,0.01,False,False,False,True,False,0.99961615,1,55
10.52,190.0,22.411880912500003,0.1674649999999999,542.4,0.89,5720.0,1.026006235060247,0.25,False,False,True,False,False,0.99961424,1,56
11.276254,246.00042,22.411880912500003,0.1674649999999999,676.0,1.01,6302.0,0.9412608599916936,-0.06,False,False,False,True,False,0.9995246,1,57
12.341,584.78,22.411880912500003,0.1674649999999999,704.0,1.74,6150.0,0.9412608599916936,-0.04,False,True,False,False,False,0.9995159,1,58
8.709393,425.25654,16.254611,0.1308,814.0,3.5,5846.0,1.239995188524827,0.3,False,False,True,False,False,0.999514,1,59
12.17,637.0,15.266446,0.118,705.0,1.941,5433.0,0.581005174118754,0.05,False,False,True,False,False,0.9995054,1,60
11.06326395,200.23189641,22.411880912500003,0.1674649999999999,684.0,0.81,6170.0,0.9412608599916936,0.09,False,True,False,False,False,0.99929523,1,61
5.14,14.95,4.6747373,0.043,582.0,0.61,3576.0,0.2714344707869742,0.099,False,False,False,False,True,0.9992405,1,62
